@RELATION safe-tweets

@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE hasPhoto 	 NUMERIC 
@ATTRIBUTE RetweetCount 	 NUMERIC 
@ATTRIBUTE class 	{Safe, Unsafe}

@DATA

0,3,0,0,0,51,Unsafe
0,1,0,0,1,1,Unsafe
0,3,2,0,1,4,Unsafe
0,1,0,0,1,0,Unsafe
0,3,7,0,1,2,Unsafe
0,3,4,0,0,0,Unsafe
0,2,1,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,1,4,Unsafe
0,3,1,0,0,2,Unsafe
0,1,0,0,0,2,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,1,4,Unsafe
0,2,1,0,0,0,Unsafe
0,3,8,0,0,2,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,2,4,0,1,8,Unsafe
0,1,1,0,0,1,Unsafe
0,1,0,0,0,2,Unsafe
0,1,0,0,0,0,Unsafe
0,1,1,0,0,1,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,0,1,Unsafe
0,1,1,0,0,1,Unsafe
0,1,0,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,1,1,0,0,0,Unsafe
0,1,0,0,0,1,Unsafe
0,2,1,0,1,1,Unsafe
0,1,0,0,0,4,Unsafe
0,1,0,0,0,1,Unsafe
0,2,0,0,0,2,Unsafe
0,2,1,0,0,0,Unsafe
0,1,0,0,0,4,Unsafe
0,0,1,0,0,0,Unsafe
0,2,1,0,0,0,Unsafe
0,1,0,0,0,0,Unsafe
0,1,6,0,1,1,Unsafe
0,1,3,0,1,1,Unsafe
0,0,5,0,1,0,Unsafe
0,0,5,0,1,3,Unsafe
0,0,3,0,1,1,Unsafe
0,1,8,0,1,3,Unsafe
0,1,6,0,1,3,Unsafe
0,0,1,0,1,3,Unsafe
0,0,3,0,1,0,Unsafe
0,1,5,0,1,0,Unsafe
0,0,5,0,1,2,Unsafe
0,1,6,0,1,0,Unsafe
0,1,3,0,1,3,Unsafe
0,1,3,0,1,0,Unsafe
0,1,6,0,1,0,Unsafe
0,1,8,0,1,0,Unsafe
0,1,8,0,1,2,Unsafe
0,0,5,0,1,2,Unsafe
0,0,1,0,1,2,Unsafe
0,0,5,0,1,1,Unsafe
0,1,1,0,0,4,Unsafe
0,1,1,0,0,1,Unsafe
0,1,1,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
0,0,1,0,0,1,Unsafe
0,0,1,0,0,3,Safe
0,1,2,0,0,3,Unsafe
0,0,2,0,0,1,Unsafe
0,1,1,0,0,1,Unsafe
0,0,1,0,0,1,Safe
0,0,1,0,0,0,Safe
0,0,1,0,0,0,Safe
0,0,1,0,0,1,Safe
0,0,1,0,0,8,Safe
0,0,0,0,0,12942,Safe
0,1,2,0,0,3,Unsafe
0,0,1,0,0,1,Safe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
1,0,0,0,0,77420,Unsafe
1,0,0,0,0,35,Safe
1,0,0,0,0,79,Safe
1,0,0,0,0,44,Safe
1,0,0,0,0,117,Safe
1,0,0,0,0,258,Safe
1,0,0,0,0,1152,Safe
1,0,0,0,0,1207,Safe
1,0,0,0,0,1295,Safe
1,0,0,0,0,321,Safe
1,2,8,0,0,244,Unsafe
1,0,0,0,0,47,Safe
1,0,0,0,0,36,Safe
1,0,0,0,0,46,Safe
1,0,0,0,0,76,Safe
1,0,0,0,1,32,Safe
1,0,0,0,0,198,Safe
1,0,0,0,0,37,Safe
1,0,0,0,0,737,Safe
1,0,0,0,0,102,Safe
0,1,6,0,0,0,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,1,0,0,0,Unsafe
0,0,0,0,0,0,Safe
0,3,1,6,0,0,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,4,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,4,0,0,Unsafe
0,0,0,0,0,1,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,4,0,0,Unsafe
0,0,0,0,0,0,Safe
0,1,1,0,0,0,Unsafe
